Industry code,sector,year,sector_output,rgdpo,emp,rkna,avh,gdp_per_worker,capital_per_worker,output_per_worker,output_per_hour,sector_output_growth,output_per_worker_growth,output_per_hour_growth,gdp_per_worker_growth
,General Index,2007,141.7,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.14478512319452363,0.06820127252938946,0.06361118451418402,0.11172598865353578
,General Index,2008,145.2,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.024399955694060615,0.02611259478765149,0.01773445493976844,0.05422008181611382
,General Index,2009,152.9,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.05167201054432091,0.07055053277548673,0.06062462181643502,0.061347046627822976
,General Index,2010,165.5,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.07918708188210122,0.07592009650078246,0.07266260037591366,0.1373306130246199
,General Index,2011,170.3,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.02859039285152498,0.041624178644962484,0.03691694382764199,0.07552670435624975
,General Index,2012,172.2,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,0.011095004324987556,0.04463297714699266,0.0371910283260799,0.08272223096417797
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2005,90.9,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.6388965908101971,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2006,104.0,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.1346308979579396,0.07146122831308865,0.07247957251038395,0.11321011632892741
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2007,110.0,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.056089466651044084,0.06820127252938946,0.06361118451418402,0.11172598865353578
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2008,104.4,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,-0.05225069034387797,0.02611259478765149,0.01773445493976844,0.05422008181611382
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2009,105.8,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.013320843975660246,0.07055053277548673,0.06062462181643502,0.061347046627822976
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2010,114.3,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.07727605137656646,0.07592009650078246,0.07266260037591366,0.1373306130246199
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2011,118.5,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.0360863897744208,0.041624178644962484,0.03691694382764199,0.07552670435624975
19.0,"Luggage, handbags, saddlery, harness and footwear tanning and dressing of leather products",2012,127.1,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,0.07006121762022222,0.04463297714699266,0.0371910283260799,0.08272223096417797
29.0,Machinery and equipment n.e.c.,2005,126.1,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.00789893522453422,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
29.0,Machinery and equipment n.e.c.,2006,150.9,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.17954212280292925,0.07146122831308865,0.07247957251038395,0.11321011632892741
29.0,Machinery and equipment n.e.c.,2007,185.0,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.20373845930452106,0.06820127252938946,0.06361118451418402,0.11172598865353578
29.0,Machinery and equipment n.e.c.,2008,171.0,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,-0.07869226857566414,0.02611259478765149,0.01773445493976844,0.05422008181611382
29.0,Machinery and equipment n.e.c.,2009,198.0,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.14660347419187492,0.07055053277548673,0.06062462181643502,0.061347046627822976
29.0,Machinery and equipment n.e.c.,2010,256.3,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.25808160267549063,0.07592009650078246,0.07266260037591366,0.1373306130246199
29.0,Machinery and equipment n.e.c.,2011,241.3,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,-0.06030766073903937,0.041624178644962484,0.03691694382764199,0.07552670435624975
29.0,Machinery and equipment n.e.c.,2012,230.0,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.04796166370779087,0.04463297714699266,0.0371910283260799,0.08272223096417797
,Manufacturing,2005,110.3,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.7348753826637386,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
,Manufacturing,2006,126.8,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.13940711574366826,0.07146122831308865,0.07247957251038395,0.11321011632892741
,Manufacturing,2007,150.1,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.16869069663629066,0.06820127252938946,0.06361118451418402,0.11172598865353578
,Manufacturing,2008,153.8,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.02435131843212801,0.02611259478765149,0.01773445493976844,0.05422008181611382
,Manufacturing,2009,161.3,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.047612928059619364,0.07055053277548673,0.06062462181643502,0.061347046627822976
,Manufacturing,2010,175.7,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.0855120100618878,0.07592009650078246,0.07266260037591366,0.1373306130246199
,Manufacturing,2011,181.0,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.02971903607277504,0.041624178644962484,0.03691694382764199,0.07552670435624975
,Manufacturing,2012,183.3,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,0.012627123579833643,0.04463297714699266,0.0371910283260799,0.08272223096417797
33.0,"Medical, precision and optical instruments, watches and clocks",2005,95.4,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.6530455763914187,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
33.0,"Medical, precision and optical instruments, watches and clocks",2006,104.8,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.09397519343270044,0.07146122831308865,0.07247957251038395,0.11321011632892741
33.0,"Medical, precision and optical instruments, watches and clocks",2007,111.4,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.06107355560624228,0.06820127252938946,0.06361118451418402,0.11172598865353578
33.0,"Medical, precision and optical instruments, watches and clocks",2008,119.8,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.072696358188165,0.02611259478765149,0.01773445493976844,0.05422008181611382
33.0,"Medical, precision and optical instruments, watches and clocks",2009,100.9,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,-0.17169375832178524,0.07055053277548673,0.06062462181643502,0.061347046627822976
33.0,"Medical, precision and optical instruments, watches and clocks",2010,107.8,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.06614773111533356,0.07592009650078246,0.07266260037591366,0.1373306130246199
33.0,"Medical, precision and optical instruments, watches and clocks",2011,119.5,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.10303871289666855,0.041624178644962484,0.03691694382764199,0.07552670435624975
33.0,"Medical, precision and optical instruments, watches and clocks",2012,117.1,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.020288100767894335,0.04463297714699266,0.0371910283260799,0.08272223096417797
,Mining and Quarrying,2005,102.3,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.13511859764609024,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
,Mining and Quarrying,2006,107.5,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.049581174610136,0.07146122831308865,0.07247957251038395,0.11321011632892741
,Mining and Quarrying,2007,112.5,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.04546237407675768,0.06820127252938946,0.06361118451418402,0.11172598865353578
,Mining and Quarrying,2008,115.4,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.02545113242952457,0.02611259478765149,0.01773445493976844,0.05422008181611382
,Mining and Quarrying,2009,124.5,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.07590136183076268,0.07055053277548673,0.06062462181643502,0.061347046627822976
,Mining and Quarrying,2010,131.0,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.050891607296389196,0.07592009650078246,0.07266260037591366,0.1373306130246199
,Mining and Quarrying,2011,128.5,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,-0.01926841886587649,0.041624178644962484,0.03691694382764199,0.07552670435624975
,Mining and Quarrying,2012,125.5,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.023623145763435716,0.04463297714699266,0.0371910283260799,0.08272223096417797
34.0,"Motor vehicles, trailers and semi-trailers",2005,110.1,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.1309167148432051,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
34.0,"Motor vehicles, trailers and semi-trailers",2006,138.0,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.2258646414285712,0.07146122831308865,0.07247957251038395,0.11321011632892741
34.0,"Motor vehicles, trailers and semi-trailers",2007,151.2,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.09134977858822779,0.06820127252938946,0.06361118451418402,0.11172598865353578
34.0,"Motor vehicles, trailers and semi-trailers",2008,138.0,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,-0.09134977858822779,0.02611259478765149,0.01773445493976844,0.05422008181611382
34.0,"Motor vehicles, trailers and semi-trailers",2009,179.1,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.2606906239094613,0.07055053277548673,0.06062462181643502,0.061347046627822976
34.0,"Motor vehicles, trailers and semi-trailers",2010,233.3,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.26438086996071775,0.07592009650078246,0.07266260037591366,0.1373306130246199
34.0,"Motor vehicles, trailers and semi-trailers",2011,258.6,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.10295728731037279,0.041624178644962484,0.03691694382764199,0.07552670435624975
34.0,"Motor vehicles, trailers and semi-trailers",2012,244.8,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.054840915699585935,0.04463297714699266,0.0371910283260799,0.08272223096417797
30.0,"Office, accounting and computing machinery",2005,145.3,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.5216409800619335,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
30.0,"Office, accounting and computing machinery",2006,155.5,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.06784516104305105,0.07146122831308865,0.07247957251038395,0.11321011632892741
30.0,"Office, accounting and computing machinery",2007,164.8,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.058086885856083015,0.06820127252938946,0.06361118451418402,0.11172598865353578
30.0,"Office, accounting and computing machinery",2008,148.8,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,-0.10212949507637958,0.02611259478765149,0.01773445493976844,0.05422008181611382
30.0,"Office, accounting and computing machinery",2009,154.4,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.03694351519168393,0.07055053277548673,0.06062462181643502,0.061347046627822976
30.0,"Office, accounting and computing machinery",2010,146.3,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,-0.05388732956459741,0.07592009650078246,0.07266260037591366,0.1373306130246199
30.0,"Office, accounting and computing machinery",2011,148.7,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.01627154544003062,0.041624178644962484,0.03691694382764199,0.07552670435624975
30.0,"Office, accounting and computing machinery",2012,128.1,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.1491196445634202,0.04463297714699266,0.0371910283260799,0.08272223096417797
26.0,Other non-metallic mineral products,2005,107.8,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.17253355042779184,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
26.0,Other non-metallic mineral products,2006,119.5,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.10303871289666855,0.07146122831308865,0.07247957251038395,0.11321011632892741
26.0,Other non-metallic mineral products,2007,130.6,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.08882284547076491,0.06820127252938946,0.06361118451418402,0.11172598865353578
26.0,Other non-metallic mineral products,2008,134.9,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.032394546371379285,0.02611259478765149,0.01773445493976844,0.05422008181611382
26.0,Other non-metallic mineral products,2009,145.4,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.07495480188570891,0.07055053277548673,0.06062462181643502,0.061347046627822976
26.0,Other non-metallic mineral products,2010,151.4,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.04043677590393013,0.07592009650078246,0.07266260037591366,0.1373306130246199
26.0,Other non-metallic mineral products,2011,158.6,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.04645996819739828,0.041624178644962484,0.03691694382764199,0.07552670435624975
26.0,Other non-metallic mineral products,2012,161.6,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,0.018738836886248222,0.04463297714699266,0.0371910283260799,0.08272223096417797
35.0,Other transport equipment,2005,115.3,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.3375867188119823,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
35.0,Other transport equipment,2006,132.9,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.14205953844418673,0.07146122831308865,0.07247957251038395,0.11321011632892741
35.0,Other transport equipment,2007,129.0,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,-0.029784561357527828,0.06820127252938946,0.06361118451418402,0.11172598865353578
35.0,Other transport equipment,2008,134.0,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.03802739558923918,0.02611259478765149,0.01773445493976844,0.05422008181611382
35.0,Other transport equipment,2009,171.1,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.24440838094723638,0.07055053277548673,0.06062462181643502,0.061347046627822976
35.0,Other transport equipment,2010,210.7,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.20818713991199544,0.07592009650078246,0.07266260037591366,0.1373306130246199
35.0,Other transport equipment,2011,235.8,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.11254866729312774,0.041624178644962484,0.03691694382764199,0.07552670435624975
35.0,Other transport equipment,2012,235.7,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,-0.0004241781611851181,0.04463297714699266,0.0371910283260799,0.08272223096417797
21.0,Paper and paper products,2005,106.3,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.7962945245941837,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
21.0,Paper and paper products,2006,111.0,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.04326491596443205,0.07146122831308865,0.07247957251038395,0.11321011632892741
21.0,Paper and paper products,2007,112.6,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.014311514393256175,0.06820127252938946,0.06361118451418402,0.11172598865353578
21.0,Paper and paper products,2008,118.0,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.04684290876007502,0.02611259478765149,0.01773445493976844,0.05422008181611382
21.0,Paper and paper products,2009,121.1,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.025932026093381744,0.07055053277548673,0.06062462181643502,0.061347046627822976
21.0,Paper and paper products,2010,131.4,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.08162945549146361,0.07592009650078246,0.07266260037591366,0.1373306130246199
21.0,Paper and paper products,2011,138.0,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.04900757910669462,0.041624178644962484,0.03691694382764199,0.07552670435624975
21.0,Paper and paper products,2012,138.7,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,0.005059642163581124,0.04463297714699266,0.0371910283260799,0.08272223096417797
